Year,S. No,Project Registration No.,Name & Address of Promoter,Project Details & Address,Approval Details,Project Completion Date,Other Details Links,Current Status of Project
2024,1,TN/11/Building/0301/2024 dated 29-02-2024,"Mayflower Enterprises Private Limited, Plot No.16A1, Anna Statue,Huzur Road, Behind Taj Vivanta Village , Coimbatore, Coimbatore, Tamil Nadu-641018.","Project Name: Mayflower East Gate Registration of residential building comprising of Basement floor +Stilt floor +9 floors residential building with 42 dwelling units in the land bearing Old S.F.No.418/2pt, New T.S.No.5/1, Block.07, Ward No. Z (26) Gurusamy Nagar, Vilankurichi Village, Coimbatore City Municipal Corporation, Coimbatore District.","Member Secretary/ Joint Director (i/c), Coimbatore Local Planning Authority, Coimbatore District Town and Country planning office, Coimbatore District   issued planning permission in P.P.No.696/2023   vide application No. SWP/BPA/010981/2023   dated 21/12/2023.  Commissioner, Coimbatore City Municipal Corporation issued Building Permit in B.L. No. 162/BL/2024/02/024/00237 dated 27/12/2023.",31.12.2026,"https://rera.tn.gov.in/public-view1/building/pfirm/b20b9910-c65d-11ee-bc3a-85169d312d94, https://rera.tn.gov.in/public-view2/building/pfirm/b8a59d40-c661-11ee-bac2-05b3e9af53f9",
2024,2,TN/29/Building/0302/2024 dated 29-02-2024,"Ketan Mahendra Chandan, Flat No.Old No. 17, New No. 54, Harleys Road, Kilpauk, Chennai, Tamil Nadu-600010.","Project Name: ACE STARLIT Stilt Floor + 4 Floors Commercial (Office) Building at Old Door No. 15/1, New Door No. 31, Harrington Road, Chetpet, Chennai - 600031 comprised in T.S.No. 327/11, Block No. 19 of Egmore Village, Egmore Taluk, Greater Chennai Corporation, Zone - 09, Division No.110, Chennai District.","CMDA issued Planning Permission in Letter No. PP/NHRB/N/215/2022, Dated 30/06/2022. Greater Chennai Corporation issued Building Permission in Letter No. CEBA/WDCN09/00241/2022, Dated 21/07/2022.",Completed,"https://rera.tn.gov.in/public-view1/building/pindividiual/c2d95430-caf7-11ee-8364-d5a2910509de, https://rera.tn.gov.in/public-view2/building/pindividiual/7ae29410-cbd3-11ee-85be-3599a2cc0bac",
2024,3,TN/16/Building/0303/2024 dated 29-02-2024,"1. Thiru.V.Gouthaman and 2.M/s. Arjith Allure, Door No.13, Arockiyasamy Pillai Street, Crawford Village , Tiruchirappalli, Taluk.Tiruchirappalli, Tiruchirappalli, Tamil Nadu-620012.","Project Name: ARJITH  ALLURE Stilt Floor + 5 Floors residential building with 35 dwelling units at Door No.13 , Arokiyasamy Pillai Street comprised in New T.S.No. 5 (S.F.No. 136/1A Part), Ward - AK, Block No.8 of K.Abishekapuram Village, Crawford, Zone IV, Tiruchirappalli City Corporation, Tiruchirappalli West Taluk, Tiruchirappalli District.",The Joint Director /  DTCP / Tiruchirappalli District has  issued  the planning permission in Letter No. SWP/BPA/022966/2023  dated 14.11.2023. The Assistant Commissioner / Tiruchirappalli  City Municipal Corporation has issued the building permission in Letter No. 086/BL/2024/00058  dated 11.01.2024.,13.11.2031,"https://rera.tn.gov.in/public-view1/building/pfirm/93584fc0-ceed-11ee-8d85-59eeff3b1de5, https://rera.tn.gov.in/public-view2/building/pfirm/1c550540-cef5-11ee-ab60-a1335f41de76",
2024,4,TN/35/Building/0304/2024 dated 13-03-2024,"M/s. Vinayaggas Infratech Private Limited, Plot No.17B/8, Ground Floor, Dr. Solomon Street, Zameen Pallavaram, Chennai, Tamil Nadu-600043.","Project Name: VINAYAGGAS - SAI NANDANA Stilt Floor + 5 Floors (Height – 18.00m) Residential Building with 20 Dwelling Units (Affordable Housing) at Door No.23 & 26, Plot No.23 & 26, Thennanthoppe 2nd Street (Now St.Mary’s Street) and Sarojini Street, Rajaji Nagar, Pallavaram, Chennai - 600 0043 comprised in S.No.365/3A1A1A1 Part, T.S.Nos. 42/3 & 42/3-2, Block No.4, Ward D of Zamin Pallavaram Village, Within the limits of Tambaram Municipal Corporation, Chengalpattu District.","CMDA issued Planning Permission No. OL-PP/NHRB/0430/2023 issued in letter No. CMDA/PP/NHRB/S/0623/2023, dated 07.11.2023 . The Commissioner, Tambaram Municipal Corporation, Zone 2 issued Building Permission No. 009/BL/2024/02/014/00143, dated 22.01.2024 .",06.11.2031,"https://rera.tn.gov.in/public-view1/building/pfirm/268fc320-cfb8-11ee-8c79-fdd9f2a8c8ab, https://rera.tn.gov.in/public-view2/building/pfirm/40ce6a40-cfc2-11ee-bc75-91f266848bb9",
2024,5,TN/29/Building/0305/2024 dated 13-03-2024,"M/s.ETICADEVELOPERS PVT LTD, Door No.24, venkatnarayana road, chennai, Chennai, Tamil Nadu-600017.","Project Name: ETICA MALAR MRC NAGAR Extended Basement Floor part + Stilt Floor part (Mechanical pit parking 2 levels)/Ground floor part + 9 floors of Residential building with 18 dwelling units at Old Door No. 96, New Door No.140, Karpagam Avenue, Santhome High Road, Raja Annamalai Puram, Chennai 600028 comprised in  R.S.No. 4297/24, Block No.95 of Mylapore Village, within the limit of Greater Chennai corporation, Chennai District.","CMDA issued planning permission No: OL-PP/HRB/0002/2024 in Letter No. CMDA/PP/HRB/S/0031/2023, Dated 30/01/2024. Greater Chennai Corporation issued building permission No. CEBA/WDCN13/00069/2024, Dated 09/02/2024.",29.01.2032,"https://rera.tn.gov.in/public-view1/building/pfirm/97b2c040-c980-11ee-b537-b98a1378758a, https://rera.tn.gov.in/public-view2/building/pfirm/bcd1b7f0-c983-11ee-bdda-1b8686251adb",
2024,6,TN/1/Building/0306/2024 dated 13-03-2024,"Ms Isha Homes India Private Limited, Door No.74, 1st Avenue Indra Nagar, Adyar, Chennai, Chennai, Tamil Nadu-600020.","Project Name: ISHA POKKISHAM Group Housing Development Comprising of Two Blocks : Block A : Stilt Floor + 5 Floors (18.30 m) Residential building with 33 dwelling units and (Gym at 1st Floors) ,  Block B - Stilt Floor + 5 Floors (18.30m) Residential building with 45 dwelling units totaling 78 dwelling units for affordable housing and service block (Ground Floor - Pump Room) at Nukampalayam Road , Perumbakkam ,  Comprised in Survey No. 78/1, 78/2, 78/3, 78/4, 78/5 & 78/6  of  Perumbakkam Village , within the limits of St.Thomas Panchayat Union , Tambaram  Taluk, Chengalpattu District.","CMDA issued Planning Permission in Planning Permit No. OL-PP/NHRB/0007/2024  in Letter No. CMDA/PP/NHRB/S/0335/2023, dated 05.01.2024. The Commissioner, St.Thomas Mount Panchayat Union (a) Chitlapakkam forwarded to the President / Perumbakkam 1st Grade Panchayat  in Letter No. 0050/2024/A4, dated 12.01.2024. The President, Perumbakkam 1st Grade Panchayat  approved the building in letter No. 69/23-24, dated 19.01.2024.",12.01.2032,"https://rera.tn.gov.in/public-view1/building/pfirm/40e37590-ca88-11ee-b0a1-d9de3d933da9, https://rera.tn.gov.in/public-view2/building/pfirm/65e22380-ca8f-11ee-8bab-b98c6535b8fe",
2024,7,TN/29/Building/0307/2024 dated 15-03-2024,"M/s.R.K.N Construction Proprietor Thiru.R.Radhakrishnanandam, Flat No.G-2, Meenakshi Flats, Door No.25/11, Mannar Street, T.Nagar Village , T.Nagar, Chennai, Tamil Nadu-600017.","Project Name: NAVRANG FLATS Registration of Stilt Floor + 3 Floors Residential Building with 15 Dwelling units at Plot No.B, Gandhi street, Lakshmipuram, Thiruneermalai, Chennai - 600 044, Comprised in Old Survey No. 346, New Survey No. 346/2B Thiruneermalai Village, Tambaram Taluk, Chennai District.","The CMDA issued planning permission No.PP/NHRB/269/2022  in Lr.No.PP/NHRB/S/143/2022, Dated 16/09/2022. The Commissioner, Tambaram Corporation issued building permission in Letter No.009/BL/2023/01/030/01346, Dated 22/09/2023.",21.09.2028,"https://rera.tn.gov.in/public-view1/building/pfirm/2fe11b20-c272-11ee-a6bb-3d1d971783bb, https://rera.tn.gov.in/public-view2/building/pfirm/283d27f0-c279-11ee-afa2-03677af7a11e",
2024,8,TN/29/Building/0308/2024 dated 15-03-2024,"T Kumar Mehra, Flat No.XII, FI-1, CCB, B Block, Door No.49/163, DLF Ethiraj Salai, Egmore Village , Chennai, Chennai, Tamil Nadu-600008.
 
                                                                 Rima K Mehra, Flat No.XII, FI-1, CCB, B Block, Door No.49/163, DLF Ethiraj Salai, Egmore Village , Chennai, Chennai, Tamil Nadu-600008.
 
                                                                 K N Chandan, Flat No.W Block, Door No.45, 7th Street, Anna Nagar Village , Chennai, Chennai, Tamil Nadu-600040.","Project Name: INDUS ARBOUR Registration of Stilt Floor + 1st Floor (Residence) + 2nd Floor to 4th Floor Office, Commerical Cum Residential Building with 1 Dwelling Unit at Old Door No.23, New Door No.9, Plot No.4363, X - Block, 5th Street, Anna Nagar West, Chennai - 40, Comprised in Old S.No. 92 Part, R.S.No. 92/2 Part, T.S.No. 584, Block No.2, Ward - 1 of Mullam Village, Aminjikarai Taluk, Chennai District.","The CMDA issued planning permission No.PP/NHRB/108/2022 in Letter No. PP/NHRB/N/068/2022, Dated 18/04/2022. The Greater Chennai Corporation issued building permission in Letter No. CEBA/WDCN08/00153/2022, Dated 23/05/2022.",Completed,"https://rera.tn.gov.in/public-view1/building/pindividiual/00a8cf30-da09-11ee-963a-f970af9b18a3, https://rera.tn.gov.in/public-view2/building/pindividiual/b01619d0-da4d-11ee-9b19-33ec942c83a2",
2024,9,TN/29/Building/0309/2024 dated 15-03-2024,"Asset Tree Housing, Flat No.F2, 1st Floor, Plot No.148 & 148 A-3, Sankar Nagar, Pammal Village , Chennai, Chennai, Tamil Nadu-600075.","Project Name: ATH VALENCIA Registration of Stilt Floor + 5 Floors (Height - 18.30m) Residential Building with 15 Dwelling Units Availing Premium FSI at Plot No.146, Defence Colony 12th Cross Street, Ekkatuthangal, Chennai 600 032 comprised in Survey No. 163/28 of Nandambakkam Village, Within the limits of Greater Chennai Corporation, Chennai District.","CMDA issued Planning Permission No. OL-PP/NHRB/0507/2023 in Letter No. CMDA/PP/NHRB/S/0624/2023 dated 22.12.2023. The Executive Engineer (T.P), Greater Chennai Corporation issued Building Permission in Letter No. CEBA/WDCN12/00028/2024 dated 18.01.2024.",21.12.2031,"https://rera.tn.gov.in/public-view1/building/pfirm/38a58a70-d89d-11ee-8f89-73d042a8316c, https://rera.tn.gov.in/public-view2/building/pfirm/022e0b30-d8a6-11ee-aa61-b988ce9aaaa0",
2024,10,TN/2/Building/0310/2024 dated 15-03-2024,"Sri Hari Homes, Door No.170, Citti Babu Street, Kalaignar Nagar, Chennai, Chennai, Tamil Nadu-600016.","Project Name: MAGNUM Registration of Stilt Floor + 3 Floors Residential Building with 15 Dwelling Units (Height 12.00 m)  at Plot No. 11, Sri Balaji Avenue, Ayanambakkam comprised in Survey Nos. 441/1A2 & 441/1B of Ayanambakkam Village, Within the limits of Tiruverkadu Municipality, Thiruvallur District.","CMDA issued Planning Permission No. OL-PP/NHRB/0203/2023 issued in letter No. CMDA/PP/NHRB/C/0083/2023, dated 05.06.2023. The Commissioner, Tiruverkadu Municipality issued Building Permission in letter RC No. 2774/2023/F1, dated 28.08.2023",01.02.2026,"https://rera.tn.gov.in/public-view1/building/pfirm/55897600-c57d-11ee-9d83-b911be146d01, https://rera.tn.gov.in/public-view2/building/pfirm/680b4a90-c587-11ee-9fc9-a1850c2475ab",
